,timestamp,GyrY,GyrX,GyrZ,AccY,AccX,AccZ
191,268.002092,0.89108091592789,0.45447343587875,-0.1529938429594,0.5230122196431061,-0.12488715502680611,0.7914371393164805
192,268.010425,0.78562694787979,0.37719520926476,-0.23068179190159,0.5209575867166326,-0.12474411604355815,0.7945261196214326
193,268.018758,0.7675176858902,0.40928983688354,-0.28816014528275,0.5241041280785388,-0.12301284439709693,0.78959795893455
194,268.027091,0.78096526861191,0.47002124786377,-0.33459874987602,0.5208838715845224,-0.12225959982190815,0.7926561394516306
195,268.035424,0.75345557928085,0.3012490272522,-0.26882141828537,0.5210824402011173,-0.1212669635305602,0.7928853618855377
196,268.04375699999997,0.72686803340912,0.25163426995277,-0.20342826843262,0.5224093612359489,-0.12184868053514082,0.7906424269384265
197,268.05208999999996,0.86154758930206,0.33826157450676,-0.33721140027046,0.5235012696713816,-0.12322740895407551,0.7938866226040591
198,268.060423,0.87087118625641,0.2922071814537,-0.2550665140152,0.5210240519776632,-0.12347117978699386,0.7940406215434173
199,268.068756,0.76803004741669,0.32927098870277,-0.29758620262146,0.5229523717140663,-0.1226814790647857,0.7928656558601224
200,268.077089,0.79684603214264,0.35865050554276,-0.25926730036736,0.521164183713952,-0.12162314385783876,0.7935473383689408
201,268.085422,0.82415074110031,0.41310635209084,-0.36067405343056,0.5222546324437979,-0.1257265465600153,0.7921342947045152
202,268.093755,0.85248011350632,0.34118160605431,-0.23367865383625,0.5206583957282866,-0.12312962084400407,0.7926947729928152
203,268.102088,0.88493347167969,0.47276189923286,-0.30742204189301,0.5215254608465704,-0.12172168614912958,0.7935444189577683
204,268.110421,0.87244653701782,0.31716829538345,-0.27323988080025,0.5231757066687756,-0.1235982106656449,0.7949494342414704
205,268.11875399999997,0.79032731056213,0.32784941792488,-0.30646154284477,0.5221822797035683,-0.12243621203364183,0.7932421625876919
206,268.12708699999996,0.78157997131348,0.31298032402992,-0.31807759404182,0.5223669811170928,-0.12394416088960612,0.7928940228053499
207,268.13542,0.84246504306793,0.35206767916679,-0.19356678426266,0.5206664241090112,-0.12275811360806836,0.7908817699977325
208,268.143753,0.87353503704071,0.29627984762192,-0.30785748362541,0.5226275872211071,-0.12392960032638264,0.7936364777234132
209,268.152086,0.82840275764465,0.23498497903347,-0.24981558322906,0.5233085398771327,-0.12266761186171529,0.7951231392062438
210,268.160419,0.8158261179924,0.36415755748749,-0.30941998958588,0.5217057344864826,-0.12059912389638469,0.7939385394660795
211,268.168752,0.90813982486725,0.25993326306343,-0.30127462744713,0.522441474758849,-0.12410474066831631,0.7937027970138857
212,268.177085,0.81713247299194,0.31067505478859,-0.3379285633564,0.5206787829496418,-0.1226223488243255,0.7939991659047653
213,268.18541799999997,0.89505100250244,0.36725690960884,-0.40362912416458,0.5216641328772724,-0.12282744962341938,0.792782452641701
214,268.19375099999996,0.98083311319351,0.24197767674923,-0.30201748013496,0.5204649360812438,-0.12302162695904183,0.7936415866929653
215,268.202084,0.88974893093109,0.25942099094391,-0.31631019711494,0.522467749459403,-0.12452953932236631,0.7940933169150836
216,268.210417,0.77762252092361,0.306615203619,-0.37252059578896,0.5215297913064765,-0.12271356825925815,0.7937603580708408
217,268.21875,0.95735764503479,0.27416196465492,-0.30254250764847,0.5227253874953908,-0.12452147444900202,0.7925378059854316
